Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
KAR Govt Quota-Open,GM,Karnataka,"Shridevi IMS, Tumkur",RADIO DIAGNOSIS,"₹7,83,858*",Info not available*,1*,"₹50,00,000*",750,-,-,-,-,-,-,-,2442(1),3732(1),4830(1),-,-,-
KAR Govt Quota-Open,3BG,Karnataka,"Kanachur IMS, Mangalore",RADIO DIAGNOSIS,"₹7,83,858*",Info not available,1*,"₹50,00,000*",785,-,-,-,-,-,-,-,3710(1),4879(1),4879(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"AIMS, Adichunchanagiri, Bellur",GENERAL MEDICINE,"₹7,83,858*","₹23,750",1*,"₹50,00,000*",1120,3053(1),3534(1),8550(1),-,-,-,-,3793(1),2670(1),4913(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"St John's, Bangalore",PSYCHIATRY,"₹12,05,025*","₹45,000",1*,"₹5,00,000*",1720,-,-,-,-,-,-,-,3578(1),4969(1),-,-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Belagavi IMS, Belagavi",GENERAL MEDICINE,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,-,-,-,-,-,3061(1),2238(1),5002(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Mysore Med Coll, Mysore",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1050,1602(1),1602(1),3479(1),-,-,-,-,1478(2),1637(2),5039(2),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"JJM Med Coll, Davangere",GENERAL MEDICINE,"₹13,88,744*","₹30,000*",1*,"₹50,00,000*",1930,5083(4),4503(4),7627(4),-,-,-,-,4713(4),4316(4),5045(4),-,-,-
KAR Govt Quota-Open,3BG,Karnataka,"Bangalore Med Coll, Bangalore",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,2499(1),1739(1),4915(1),-,-,-,-,2239(1),2100(1),5083(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Mandya IMS, Mandya",DERMATOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,-,-,-,-,-,-,-,1805(1),1346(1),5086(1),-,-,-
KAR Priv Seats-Min.,MC,Karnataka,"Father Mullers, Mangalore",RADIO DIAGNOSIS,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1250,-,-,-,-,-,-,-,5092(3),5092(3),5092(2),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"SSIMS & RC, Davangere",RADIO DIAGNOSIS,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",1190,-,-,-,-,-,-,-,2660(1),2660(1),5096(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Bangalore Med Coll, Bangalore",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,3234(1),3234(1),4604(1),-,-,-,-,3525(1),3589(1),5101(1),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"Father Mullers, Mangalore",RADIO DIAGNOSIS,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1250,-,-,-,-,-,-,-,5103(1),5103(1),5103(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"KIMS, Hubli",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1200,2192(3),2192(3),5556(4),-,-,-,-,1523(1),1886(1),5111(1),-,-,-
KAR Govt Quota-Open,GMH,Karnataka,"MRMC, Gulbarga",GENERAL MEDICINE,"₹7,83,858*","₹8,000*",1*,"₹50,00,000*",1038,9619(1),6599(1),11368(1),-,-,-,-,4699(1),4699(1),5113(1),-,-,-
KAR Govt Quota-Open,GMH,Karnataka,"VIMS, Bellary",DERMATOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1295,1398(1),1398(1),1398(1),-,-,-,-,1946(1),3689(1),5125(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"VIMS, Bellary",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1295,2214(1),2214(1),6762(1),-,-,-,-,-,-,5179(1),-,-,-
KAR Govt Quota-Open,3AG,Karnataka,"Raichur IMS, Raichur",DERMATOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",500,-,-,-,-,-,-,-,1787(1),1787(1),5182(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Father Mullers, Mangalore",GENERAL MEDICINE,"₹7,83,858*","₹35,000*",1*,"₹50,00,000*",1250,-,-,-,-,-,-,-,4201(1),5204(1),5204(1),-,-,-
KAR Govt Quota-Open,3AH,Karnataka,"Mysore Med Coll, Mysore",GENERAL MEDICINE,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1050,-,-,-,-,-,-,-,845(1),1257(1),5208(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Bangalore Med Coll, Bangalore",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,6177(3),5676(3),6406(3),-,-,-,-,3905(2),3905(2),5246(2),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"AJIMS, Mangalore",DERMATOLOGY,"₹7,83,858*","₹30,000",1*,"₹50,00,000*",910,-,-,-,-,-,-,-,1784(1),1784(1),5340(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"BGS IMS, Bangalore",GENERAL MEDICINE,"₹7,83,858*","₹25,000*",1*,"₹50,00,000*",766,-,-,-,-,-,-,-,2041(1),2563(1),5393(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"Kempegowda IMS, Bangalore",DERMATOLOGY,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,6574(1),6147(1),6147(1),-,-,-,-,3575(1),5041(1),5395(1),-,-,-
KAR Govt Quota-Open,3AG,Karnataka,"KIMS, Hubli",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1200,-,-,-,-,-,-,-,2385(1),2561(1),5447(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Mandya IMS, Mandya",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,2974(2),2550(2),7004(2),-,-,-,-,1895(1),1943(1),5551(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Al-Ameen, Bijapur",RADIO DIAGNOSIS,"₹7,83,858*","₹9,000*",1*,"₹50,00,000*",1040,-,-,-,-,-,-,-,3732(1),4105(1),5564(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"St John's, Bangalore",PAEDIATRICS,"₹12,40,025*","₹45,000",1*,"₹5,00,000*",1720,-,-,-,-,-,-,-,2293(1),4744(1),5569(1),-,-,-
KAR Priv Seats-GMP,GMPH,Karnataka,"AJIMS, Mangalore",RADIO DIAGNOSIS,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",910,-,-,-,-,-,-,-,3561(1),5583(1),5583(1),-,-,-
KAR Govt Quota-Open,GMH,Karnataka,"VIMS, Bellary",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1295,3949(2),3168(2),8074(2),-,-,-,-,2704(1),3605(1),5622(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"IGICH, Bangalore",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",500,2839(1),2839(1),3750(1),-,-,-,-,3288(2),3288(2),5655(2),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Belagavi IMS, Belagavi",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,6486(1),-,-,-,-,2199(1),2199(1),5740(1),-,-,-
KAR Govt Quota-Open,GMH,Karnataka,"Raichur IMS, Raichur",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",500,-,-,-,-,-,-,-,3605(1),3755(1),5750(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"DR BR Ambedkar, Bangalore",GENERAL MEDICINE,"₹7,83,858*","₹10,000*",1*,"₹50,00,000*",570,4087(1),3338(1),8171(1),-,-,-,-,4079(1),2041(1),5894(1),-,-,-
KAR Govt Quota-Open,1G,Karnataka,"JJM Med Coll, Davangere",RADIO DIAGNOSIS,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",1930,-,-,-,-,-,-,-,5952(1),3720(1),3720(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"JJM Med Coll, Davangere",DERMATOLOGY,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",1930,-,-,-,-,-,-,-,5086(1),5086(1),5958(1),-,-,-
KAR Govt Quota-Open,3BG,Karnataka,"AJIMS, Mangalore",GENERAL MEDICINE,"₹7,83,858*","₹30,000",1*,"₹50,00,000*",910,-,-,-,-,-,-,-,3208(1),2732(1),6020(1),-,-,-
KAR Govt Quota-Open,3AG,Karnataka,"Kempegowda IMS, Bangalore",GENERAL MEDICINE,"₹7,83,858*","₹35,000*",1*,"₹50,00,000*",1100,-,-,-,-,-,-,-,2933(1),2385(1),6023(1),-,-,-
KAR Govt Quota-Open,1G,Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,-,-,-,-,-,-,-,2607(1),2607(1),6030(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Hassan IMS, Hassan",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,2550(1),2389(1),6476(1),-,-,-,-,1981(1),1945(1),6035(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Mysore Med Coll, Mysore",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1050,2375(2),2271(2),4733(2),-,-,-,-,1636(2),1476(2),6082(2),-,-,-
KAR Govt Quota-Open,2BG,Karnataka,"IGICH, Bangalore",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",500,-,-,-,-,-,-,-,3726(1),3726(1),6148(1),-,-,-
KAR Govt Quota-Open,GMH,Karnataka,"Mysore Med Coll, Mysore",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1050,2812(1),3220(1),8184(1),-,-,-,-,2145(1),2145(1),6185(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"JJM Med Coll, Davangere",GENERAL MEDICINE,"₹13,88,744*","₹30,000*",1*,"₹50,00,000*",1930,5839(4),5572(4),9120(4),-,-,-,-,5409(4),4977(4),6233(4),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Gadag IMS, Gadag",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,3547(1),2974(1),7901(1),-,-,-,-,2218(1),2218(1),6269(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"ESI, Bangalore",OBG,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",530,3183(2),3183(2),6634(2),-,-,-,-,4093(2),3273(2),6272(2),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",GENERAL MEDICINE,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,5452(2),5435(2),9014(2),-,-,-,-,5504(4),5045(4),6275(3),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"AJIMS, Mangalore",GENERAL MEDICINE,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",910,6164(2),5846(2),10795(2),-,-,-,-,6305(1),6159(1),6305(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Koppal Inst of MS, Koppal",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,-,-,-,-,-,-,-,2802(1),2239(1),6325(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"Kempegowda IMS, Bangalore",GENERAL MEDICINE,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,6337(2),5839(2),10306(2),-,-,-,-,6159(4),5749(4),6488(4),-,-,-
KAR Govt Quota-Open,3AG,Karnataka,"AIMS, Adichunchanagiri, Bellur",RADIO DIAGNOSIS,"₹7,83,858*","₹23,750",1*,"₹50,00,000*",1120,-,-,-,-,-,-,-,4497(1),3561(1),6520(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Nijalingappa, Bagalkot",GENERAL MEDICINE,"₹7,83,858*","₹10,000*",1*,"₹50,00,000*",1140,4118(1),4118(1),9999(1),-,-,-,-,4256(1),3891(1),6535(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Mandya IMS, Mandya",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,-,-,-,-,-,-,-,3607(1),3749(1),6538(1),-,-,-
KAR Govt Quota-Open,3BH,Karnataka,"KIMS, Hubli",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1200,-,-,-,-,-,-,-,3689(1),3540(1),6543(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"Kempegowda IMS, Bangalore",RADIO DIAGNOSIS,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,-,-,-,-,-,-,-,2756(3),2756(3),6560(3),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Kasturba Med Coll, Mangalore",PAEDIATRICS,"₹7,83,858*","₹45,000*",1*,"₹50,00,000*",1290,-,-,-,-,-,-,-,3715(1),3847(1),6641(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,Kodagu Inst of Med Sciences,PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",600,-,-,-,-,-,-,-,3407(1),2267(1),6675(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"SSIMS & RC, Davangere",GENERAL MEDICINE,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",1190,7617(1),7389(1),13213(1),-,-,-,-,6698(1),6233(1),6698(1),-,-,-
KAR Govt Quota-Open,SCG,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,4899(2),4899(2),4969(2),-,-,-,-,3603(2),4088(2),6713(2),-,-,-
KAR Govt Quota-Open,2BG,Karnataka,"Mysore Med Coll, Mysore",GENERAL MEDICINE,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1050,-,-,-,-,-,-,-,1701(1),1989(1),6774(1),-,-,-
KAR Govt Quota-Open,2AH,Karnataka,"Bidar IMS, Bidar",GENERAL MEDICINE,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",500,-,-,-,-,-,-,-,3477(1),3477(1),6788(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"AIMS, Adichunchanagiri, Bellur",DERMATOLOGY,"₹7,83,858*","₹23,750",1*,"₹50,00,000*",1120,-,-,-,-,-,-,-,3162(1),3162(1),6791(1),-,-,-
KAR Govt Quota-Open,2BG,Karnataka,"MS Ramaiah, Bangalore",GENERAL MEDICINE,"₹8,08,858*","₹45,000",1*,"₹50,00,000*",1331,5800(1),5800(1),5800(1),-,-,-,-,6774(1),6774(1),6897(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"KIMS, Hubli",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1200,2666(4),2707(4),5354(4),-,-,-,-,2004(4),1817(4),6934(4),-,-,-
KAR Govt Quota-Open,3BG,Karnataka,Kodagu Inst of Med Sciences,PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",600,-,-,-,-,-,-,-,3560(1),2802(1),7202(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"JJM Med Coll, Davangere",PAEDIATRICS,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",1930,4867(3),4867(3),7951(3),-,-,-,-,4240(2),3856(2),7203(3),-,-,-
KAR Govt Quota-Open,2AH,Karnataka,"MRMC, Gulbarga",GENERAL MEDICINE,"₹7,83,858*","₹8,000*",1*,"₹50,00,000*",1038,-,-,-,-,-,-,-,7213(1),7036(1),7213(1),-,-,-
KAR Govt Quota-Open,1G,Karnataka,"AIMS, Adichunchanagiri, Bellur",GENERAL MEDICINE,"₹7,83,858*","₹23,750",1*,"₹50,00,000*",1120,10629(1),9882(1),9882(1),-,-,-,-,7239(1),7239(1),7239(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"SSIMS & RC, Davangere",RADIO DIAGNOSIS,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",1190,2929(1),3226(1),4512(1),-,-,-,-,3899(1),4347(1),7357(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Basaveswara, Chitradurga",GENERAL MEDICINE,"₹7,83,858*","₹5,000*",1*,"₹50,00,000*",500,-,-,-,-,-,-,-,-,-,7438(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,Karwar Inst of Med Sciences,PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",650,-,-,-,-,-,-,-,-,-,7476(1),-,-,-
KAR Priv Seats-GMP,GMP,Karnataka,"VIMS (Vydehi), Bangalore",GENERAL MEDICINE,"₹13,88,744*","₹29,000*",1*,"₹50,00,000*",1600,7627(1),7617(1),14165(1),-,-,-,-,6233(1),5849(1),7501(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Belagavi IMS, Belagavi",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1000,2771(1),3760(1),8882(1),-,-,-,-,3809(2),3628(2),7579(2),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"VIMS (Vydehi), Bangalore",DERMATOLOGY,"₹7,83,858*","₹29,000*",1*,"₹50,00,000*",1600,-,-,-,-,-,-,-,1482(1),1482(1),7586(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"East Point College,Bangalore",RADIO DIAGNOSIS,"₹7,83,858*","₹20,000",1*,"₹50,00,000*",-,-,-,-,-,-,-,-,3804(1),3899(1),7653(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"Nijalingappa, Bagalkot",GENERAL MEDICINE,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1140,9231(1),6988(1),15678(1),-,-,-,-,7337(1),7337(1),7657(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Sapthagiri IMS&RC, Bangalore",RADIO DIAGNOSIS,"₹8,09,608*","₹10,000*",1*,"₹50,00,000*",500,-,-,-,-,-,-,-,7706(1),3653(1),7706(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"MS Ramaiah, Bangalore",PAEDIATRICS,"₹8,08,858*","₹45,000",1*,"₹50,00,000*",1331,4569(3),3949(3),8527(3),-,-,-,-,2033(2),3715(2),7728(3),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"SSIMS & RC, Davangere",DERMATOLOGY,"₹7,83,858*","₹30,000",1*,"₹50,00,000*",1190,4438(1),3395(1),6609(1),-,-,-,-,2269(1),2502(1),7735(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Shimoga IMS, Shimoga",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",950,-,-,-,-,-,-,-,3749(1),3796(1),7806(1),-,-,-
KAR Priv Seats-Min.,RC3,Karnataka,"St John's, Bangalore",DERMATOLOGY,"₹12,80,025*","₹45,000",1*,"₹5,00,000*",1720,2121(2),5699(2),8779(2),-,-,-,-,3764(1),3764(1),7858(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Mandya IMS, Mandya",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,-,-,-,-,-,-,-,2289(1),2344(1),7871(1),-,-,-
KAR Priv Seats-Min.,ME,Karnataka,"VIMS (Vydehi), Bangalore",RADIO DIAGNOSIS,"₹13,88,744*","₹29,000*",1*,"₹50,00,000*",1600,9051(2),9051(2),9051(2),-,-,-,-,7926(1),7926(1),7926(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"MS Ramaiah, Bangalore",RADIO DIAGNOSIS,"₹55,40,750*","₹45,000",1*,"₹50,00,000*",1331,5459(2),4683(2),17178(2),24421(1),-,-,-,3720(2),7929(2),-,-,-,-
KAR Govt Quota-Open,1H,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,-,-,-,-,-,-,-,7984(1),2036(1),7984(1),-,-,-
KAR Govt Quota-Open,GMH,Karnataka,"VIMS, Bellary",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1295,4158(2),4158(2),9518(2),-,-,-,-,3883(2),3883(2),8006(2),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Shimoga IMS, Shimoga",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",950,2980(1),2980(1),6152(1),-,-,-,-,3273(2),3051(2),8053(2),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Sapthagiri IMS&RC, Bangalore",DERMATOLOGY,"₹8,09,608*","₹10,000*",1*,"₹50,00,000*",500,-,-,-,-,-,-,-,6035(1),3427(1),8122(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"BGS IMS, Bangalore",DERMATOLOGY,"₹7,83,858*","₹25,000*",1*,"₹50,00,000*",766,-,-,-,-,-,-,-,2662(1),2662(1),8125(1),-,-,-
KAR Govt Quota-Open,GMH,Karnataka,"Bidar IMS, Bidar",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",500,-,-,-,-,-,-,-,3891(1),3863(1),8264(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"KVG Med Coll, Sullia",RADIO DIAGNOSIS,"₹13,88,744*","₹7,500",1*,"₹50,00,000*",682,5272(1),4316(1),8021(1),-,-,-,-,4296(1),4296(1),8269(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"KVG Med Coll, Sullia",GENERAL MEDICINE,"₹7,83,858*","₹7,500",1*,"₹50,00,000*",682,-,-,-,-,-,-,-,5393(1),5113(1),8322(2),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"Mysore Med Coll, Mysore",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1050,-,-,-,-,-,-,-,4257(1),5101(1),8355(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Bangalore Med Coll, Bangalore",ORTHOPAEDICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,4226(3),4018(3),11083(4),11936(1),-,-,-,2534(2),3004(2),8356(1),-,-,-
KAR Govt Quota-Open,3AG,Karnataka,"JJM Med Coll, Davangere",PAEDIATRICS,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",1930,-,-,-,-,-,-,-,4650(1),4650(1),8358(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"ESI, Bangalore",GENERAL SURGERY,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",530,5062(2),4890(2),7879(2),-,-,-,-,3841(2),3841(2),8379(2),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"DR BR Ambedkar, Bangalore",GENERAL MEDICINE,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",570,7985(1),5452(1),12615(1),-,-,-,-,6622(1),5554(1),8407(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"SGITO (Sanjay Gan), Bangalore",ORTHOPAEDICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,3740(2),3740(2),5606(2),-,-,-,-,2113(2),1844(2),8424(2),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL SURGERY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,3261(4),3508(4),5366(5),-,-,-,-,2616(4),2583(4),8428(4),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Father Mullers, Mangalore",PSYCHIATRY,"₹7,83,858*","₹35,000*",1*,"₹50,00,000*",1250,16153(1),15233(1),28970(2),-,-,-,-,8464(1),8464(1),8464(1),-,-,-
KAR Priv Seats-Open,OPN,Karnataka,"BGS IMS, Bangalore",GENERAL MEDICINE,"₹13,88,744*","₹25,000*",1*,"₹50,00,000*",766,6340(1),5810(1),11264(1),-,-,-,-,7210(2),6305(2),8469(2),-,-,-
KAR Govt Quota-Open,1G,Karnataka,"Hassan IMS, Hassan",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,-,-,-,-,-,-,-,3057(1),3057(1),8527(1),-,-,-
KAR Govt Quota-Open,GMH,Karnataka,"Belagavi IMS, Belagavi",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,-,-,-,-,-,5039(1),5182(1),8529(1),-,-,-
KAR Govt Quota-Open,3AG,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL SURGERY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,3274(1),5352(1),10047(1),-,-,-,-,2891(1),2891(1),8553(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Hassan IMS, Hassan",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,-,-,-,-,-,-,-,3051(1),2611(1),8572(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"SDM College, Dharwad",PAEDIATRICS,"₹7,83,858*","₹45,000*",1*,"₹50,00,000*",670,5286(1),4975(1),9385(1),-,-,-,-,5111(2),4336(2),8576(2),-,-,-
KAR Govt Quota-Open,GMH,Karnataka,"Khaja Bandanawaz, Gulbarga",GENERAL MEDICINE,"₹7,98,858*","₹30,000*",1*,"₹50,00,000*",833,-,-,-,-,-,-,-,8053(1),8610(1),8610(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Chamrajanagar IMS, Karnataka",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",750,5540(1),5500(1),9287(1),-,-,-,-,4688(1),3957(1),8646(1),-,-,-
KAR Govt Quota-Open,3BG,Karnataka,"Belagavi IMS, Belagavi",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,-,-,-,-,-,3919(1),3793(1),8652(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"VIMS, Bellary",GENERAL SURGERY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1295,-,-,-,-,-,-,-,3270(1),3300(1),8793(2),-,-,-
KAR Govt Quota-Open,SCH,Karnataka,"Gulbarga IMS, Gulbarga",RADIO DIAGNOSIS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",873,13763(1),13763(1),19546(1),-,-,-,-,4751(1),8813(1),8813(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"JJM Med Coll, Davangere",PAEDIATRICS,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",1930,5716(1),6235(1),9759(1),-,-,-,-,5416(1),5416(1),8841(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"SGITO (Sanjay Gan), Bangalore",ORTHOPAEDICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,4545(1),5606(1),6828(1),-,-,-,-,5979(1),5979(1),8895(1),-,-,-
KAR Govt Quota-Open,2AG,Karnataka,"KVG Med Coll, Sullia",RADIO DIAGNOSIS,"₹7,83,858*","₹7,500",1*,"₹50,00,000*",682,-,-,-,-,-,-,-,8895(1),4257(1),4257(1),-,-,-
KAR Govt Quota-Open,GM,Karnataka,"Belagavi IMS, Belagavi",GENERAL SURGERY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1000,5400(1),5400(1),12870(1),-,-,-,-,4302(1),745(1),8970(1),-,-,-
